vin	V(vout)
Step Information: Rd=10K  (Step: 1/4)
2.249999999999996e+00	9.654302e-01
2.259999999999996e+00	9.560855e-01
2.269999999999996e+00	9.470065e-01
2.279999999999995e+00	9.381785e-01
2.289999999999995e+00	9.295883e-01
2.299999999999995e+00	9.212233e-01
2.309999999999995e+00	9.130724e-01
2.319999999999995e+00	9.051251e-01
2.329999999999994e+00	8.973717e-01
2.339999999999994e+00	8.898032e-01
2.349999999999994e+00	8.824113e-01
2.359999999999994e+00	8.751882e-01
2.369999999999993e+00	8.681266e-01
2.379999999999993e+00	8.612199e-01
2.389999999999993e+00	8.544616e-01
2.399999999999993e+00	8.478457e-01
2.409999999999993e+00	8.413668e-01
2.419999999999992e+00	8.350196e-01
2.429999999999992e+00	8.287991e-01
2.439999999999992e+00	8.227006e-01
2.449999999999992e+00	8.167198e-01
2.459999999999992e+00	8.108524e-01
2.469999999999991e+00	8.050946e-01
2.479999999999991e+00	7.994426e-01
2.489999999999991e+00	7.938929e-01
2.499999999999991e+00	7.884421e-01
2.509999999999990e+00	7.830870e-01
2.519999999999990e+00	7.778245e-01
2.529999999999990e+00	7.726519e-01
2.539999999999990e+00	7.675661e-01
2.549999999999990e+00	7.625649e-01
2.559999999999989e+00	7.576455e-01
2.569999999999989e+00	7.528055e-01
2.579999999999989e+00	7.480428e-01
2.589999999999989e+00	7.433550e-01
2.599999999999989e+00	7.387401e-01
2.609999999999988e+00	7.341961e-01
2.619999999999988e+00	7.297210e-01
2.629999999999988e+00	7.253129e-01
2.639999999999988e+00	7.209703e-01
2.649999999999987e+00	7.166911e-01
2.659999999999987e+00	7.124740e-01
2.669999999999987e+00	7.083173e-01
2.679999999999987e+00	7.042193e-01
2.689999999999987e+00	7.001789e-01
2.699999999999986e+00	6.961944e-01
2.709999999999986e+00	6.922645e-01
2.719999999999986e+00	6.883880e-01
2.729999999999986e+00	6.845636e-01
2.739999999999986e+00	6.807900e-01
2.749999999999985e+00	6.770661e-01
2.759999999999985e+00	6.733907e-01
2.769999999999985e+00	6.697628e-01
2.779999999999985e+00	6.661813e-01
2.789999999999984e+00	6.626452e-01
2.799999999999984e+00	6.591534e-01
2.809999999999984e+00	6.557051e-01
2.819999999999984e+00	6.522992e-01
2.829999999999984e+00	6.489350e-01
2.839999999999983e+00	6.456114e-01
2.849999999999983e+00	6.423277e-01
2.859999999999983e+00	6.390831e-01
2.869999999999983e+00	6.358768e-01
2.879999999999983e+00	6.327080e-01
2.889999999999982e+00	6.295758e-01
2.899999999999982e+00	6.264797e-01
2.909999999999982e+00	6.234189e-01
2.919999999999982e+00	6.203928e-01
2.929999999999982e+00	6.174006e-01
2.939999999999981e+00	6.144418e-01
2.949999999999981e+00	6.115156e-01
2.959999999999981e+00	6.086215e-01
2.969999999999981e+00	6.057588e-01
2.979999999999980e+00	6.029271e-01
2.989999999999980e+00	6.001258e-01
2.999999999999980e+00	5.973542e-01
3.009999999999980e+00	5.946119e-01
3.019999999999980e+00	5.918983e-01
3.029999999999979e+00	5.892130e-01
3.039999999999979e+00	5.865554e-01
3.049999999999979e+00	5.839251e-01
3.059999999999979e+00	5.813216e-01
3.069999999999979e+00	5.787444e-01
3.079999999999978e+00	5.761931e-01
3.089999999999978e+00	5.736673e-01
3.099999999999978e+00	5.711665e-01
3.109999999999978e+00	5.686903e-01
3.119999999999977e+00	5.662383e-01
3.129999999999977e+00	5.638102e-01
3.139999999999977e+00	5.614054e-01
3.149999999999977e+00	5.590238e-01
3.159999999999977e+00	5.566648e-01
3.169999999999976e+00	5.543282e-01
3.179999999999976e+00	5.520136e-01
3.189999999999976e+00	5.497206e-01
3.199999999999976e+00	5.474489e-01
3.209999999999976e+00	5.451981e-01
3.219999999999975e+00	5.429681e-01
3.229999999999975e+00	5.407584e-01
